outcome,model,n,term,estimate,se,test_statistic,df_test,p_method,OR,CI_low,CI_high,p,significance
insufficient_sleep,Model 4,3099,race_ethnicityOther Hispanic,0.16236850854694929,0.2592531120862666,0.6262933827113368,15,Design-based Wald t test (df = PSU - strata),1.17629363571981,0.6769103621141245,2.0440914999638427,0.5405369551972786,NS
insufficient_sleep,Model 4,3099,race_ethnicityOther / Multi-racial,0.016528993958173355,0.28394306594416235,0.05821235289973165,15,Design-based Wald t test (df = PSU - strata),1.0166663535404603,0.5550587444876126,1.862164112692983,0.9543479005081585,NS
insufficient_sleep,Model 4,3099,educationSome college/AA,0.5243160579839725,0.1581249002674791,3.315834869125963,15,Design-based Wald t test (df = PSU - strata),1.689303067834811,1.2059658861942772,2.366356202663245,0.004703667890142394,**
insufficient_sleep,Model 4,3099,educationHigh school/GED,0.5670773378877415,0.24477878371460052,2.3166931761084513,15,Design-based Wald t test (df = PSU - strata),1.7631065491937403,1.0463874525419223,2.9707396588696375,0.03507308767604532,*
insufficient_sleep,Model 4,3099,education9-11th grade,0.2812350616595186,0.23005184263318632,1.2224855860335058,15,Design-based Wald t test (df = PSU - strata),1.32476496879089,0.8113069332411749,2.16317912571545,0.2403859053403712,NS
insufficient_sleep,Model 4,3099,education<9th grade,0.06483727981085409,0.26488068243299573,0.24477919346668606,15,Design-based Wald t test (df = PSU - strata),1.0669853901931734,0.606686843031308,1.8765164202298819,0.8099443720292828,NS
insufficient_sleep,Model 4,3099,poverty_ratio,0.09842389740781525,0.03999905455503534,2.4606555955564455,15,Design-based Wald t test (df = PSU - strata),1.1034304272831823,1.013255009750781,1.2016310762221796,0.02648092632755758,*
insufficient_sleep,Model 4,3099,partneredYes,-0.08000619479512536,0.20595719691773975,-0.3884603014240876,15,Design-based Wald t test (df = PSU - strata),0.9231106278877055,0.5951191933325525,1.431869852066865,0.703133406314222,NS
insufficient_sleep,Model 4,3099,DMDHHSIZ,0.10502441206431366,0.044947552756093884,2.336599116624313,15,Design-based Wald t test (df = PSU - strata),1.110737725425525,1.009263615295599,1.2224143187031715,0.0337452701303987,*
insufficient_sleep,Model 4,3099,smoking_statusFormer,-0.13758459449748298,0.1909474141059161,-0.7205365683620443,15,Design-based Wald t test (df = PSU - strata),0.8714606261051425,0.5800857314504261,1.3091920412396294,0.4822734547304979,NS
insufficient_sleep,Model 4,3099,smoking_statusCurrent,0.32511585212056937,0.14562878356090625,2.2324972039926183,15,Design-based Wald t test (df = PSU - strata),1.3841909981544116,1.0148242528288458,1.8879965807191295,0.041250370786565266,*
