outcome,model,n,term,estimate,se,test_statistic,df_test,p_method,OR,CI_low,CI_high,p,significance
sleep_trouble_alcohol_user,Sensitivity,3899,race_ethnicityOther / Multi-racial,0.24983405416262644,0.2834927260644485,0.8812714796281222,15,Design-based Wald t test (df = PSU - strata),1.2838123556935417,0.7015827758943965,2.3492226737326387,0.3920734579195365,NS
sleep_trouble_alcohol_user,Sensitivity,3899,educationSome college/AA,0.013907409144480319,0.17881263923724974,0.077776432380867,15,Design-based Wald t test (df = PSU - strata),1.0140045670414306,0.6926553669363029,1.4844398976200146,0.9390339040958692,NS
sleep_trouble_alcohol_user,Sensitivity,3899,educationHigh school/GED,-0.22315744443673996,0.22951770371836863,-0.9722885896007697,15,Design-based Wald t test (df = PSU - strata),0.799988885579183,0.4904838874630279,1.3047976363922134,0.34632596561721063,NS
sleep_trouble_alcohol_user,Sensitivity,3899,education9-11th grade,-0.20885491890817295,0.23745695164937122,-0.8795485558854811,15,Design-based Wald t test (df = PSU - strata),0.8115129622898506,0.48920070668801174,1.3461822089812339,0.39297694408459083,NS
sleep_trouble_alcohol_user,Sensitivity,3899,education<9th grade,-0.4923918212358191,0.29071007815197497,-1.6937555944600264,15,Design-based Wald t test (df = PSU - strata),0.6111628523281484,0.32889205406427074,1.135691870478836,0.1109687720045195,NS
sleep_trouble_alcohol_user,Sensitivity,3899,poverty_ratio,0.02766878991473257,0.03973717388376236,0.6962948597116705,15,Design-based Wald t test (df = PSU - strata),1.0280551258004373,0.9445666847518884,1.1189229503284577,0.49689276888248235,NS
sleep_trouble_alcohol_user,Sensitivity,3899,partneredYes,-0.027383796980787915,0.07919979728700796,-0.34575589734848966,15,Design-based Wald t test (df = PSU - strata),0.9729877400975685,0.8218526409477134,1.1519159216772574,0.734327643580415,NS
sleep_trouble_alcohol_user,Sensitivity,3899,DMDHHSIZ,-0.07206415176222078,0.04059863239137986,-1.775038899525144,15,Design-based Wald t test (df = PSU - strata),0.9304712025291737,0.8533392570688492,1.014574978901075,0.09618102596518462,NS
sleep_trouble_alcohol_user,Sensitivity,3899,smoking_statusFormer,0.3545510588532268,0.1840287260292795,1.9266071471734076,15,Design-based Wald t test (df = PSU - strata),1.4255405268035746,0.9630047972659642,2.110234340814157,0.07319158876633483,NS
sleep_trouble_alcohol_user,Sensitivity,3899,smoking_statusCurrent,0.2542412312205567,0.13107466618593996,1.9396672035761284,15,Design-based Wald t test (df = PSU - strata),1.2894828302687378,0.9751755172864309,1.7050940472590665,0.07146262829391162,NS
sleep_trouble_alcohol_user,Sensitivity,3899,bmi_categoryUnderweight,-0.16305362939460763,0.45693779487998404,-0.35683988328747046,15,Design-based Wald t test (df = PSU - strata),0.8495456265752295,0.3207820095108777,2.2499010238559696,0.7261818513501446,NS
