variable,alcohol_category,category,estimate,se,p_overall,n_unweighted
race_ethnicity,Drinkers (non-binge),Non-Hispanic Black,0.11554534274172544,0.017607693347214664,2.4935934043269253e-8,2053
race_ethnicity,Binge drinker,Non-Hispanic Black,0.09708346296177083,0.015173527329138374,2.4935934043269253e-8,1437
race_ethnicity,Non-drinker,Non-Hispanic Asian,0.18902549756399442,0.024037457460797072,2.4935934043269253e-8,585
race_ethnicity,Drinkers (non-binge),Non-Hispanic Asian,0.0520995872455615,0.009869986417352008,2.4935934043269253e-8,2053
race_ethnicity,Binge drinker,Non-Hispanic Asian,0.028017871734350868,0.005116690783286897,2.4935934043269253e-8,1437
race_ethnicity,Non-drinker,Mexican American,0.09544755459269458,0.030258528461850547,2.4935934043269253e-8,585
race_ethnicity,Drinkers (non-binge),Mexican American,0.07359966706013575,0.014096776488946333,2.4935934043269253e-8,2053
race_ethnicity,Binge drinker,Mexican American,0.11603239185130906,0.0213387242300581,2.4935934043269253e-8,1437
race_ethnicity,Non-drinker,Other Hispanic,0.0689084020136927,0.012554781482725468,2.4935934043269253e-8,585
race_ethnicity,Drinkers (non-binge),Other Hispanic,0.0630035709158483,0.007900220609849275,2.4935934043269253e-8,2053
race_ethnicity,Binge drinker,Other Hispanic,0.072048103541698,0.011306115174212148,2.4935934043269253e-8,1437
race_ethnicity,Non-drinker,Other / Multi-racial,0.034533817895338464,0.016184429684764322,2.4935934043269253e-8,585
race_ethnicity,Drinkers (non-binge),Other / Multi-racial,0.042350305109785685,0.008020644744263332,2.4935934043269253e-8,2053
race_ethnicity,Binge drinker,Other / Multi-racial,0.04666271892058917,0.009291081194697976,2.4935934043269253e-8,1437
education,Non-drinker,College graduate+,0.29397960246859656,0.05060999372214809,0.0017674105631764903,506
education,Drinkers (non-binge),College graduate+,0.33439788902287976,0.027214315849112988,0.0017674105631764903,1975
education,Binge drinker,College graduate+,0.32732588047179695,0.03661162992289822,0.0017674105631764903,1359
education,Non-drinker,Some college/AA,0.22415590913246233,0.03497972199090098,0.0017674105631764903,506
