outcome,model,n,term,estimate,se,test_statistic,df_test,p_method,OR,CI_low,CI_high,p,significance
sleep_trouble,Model 1,4072,race_ethnicityNon-Hispanic Black,-0.2685367857841759,0.12420028809668618,-2.1621269153186513,15,Design-based Wald t test (df = PSU - strata),0.7644972996599204,0.5866872274712088,0.9961971112043543,0.04717700654801157,*
sleep_trouble,Model 1,4072,race_ethnicityNon-Hispanic Asian,-0.7184604222230698,0.13523213327147457,-5.312793674420424,15,Design-based Wald t test (df = PSU - strata),0.4875022260866506,0.3654225618841827,0.6503660288900374,8.691135751290053e-5,***
sleep_trouble,Model 1,4072,race_ethnicityMexican American,-0.5103017125603352,0.16983262822490877,-3.0047330592125348,15,Design-based Wald t test (df = PSU - strata),0.6003144290826611,0.41799266652429246,0.8621620488260342,0.008886670799126507,**
sleep_trouble,Model 1,4072,race_ethnicityOther Hispanic,-0.4244351223107242,0.17165979394107084,-2.472536594424835,15,Design-based Wald t test (df = PSU - strata),0.6541391894196878,0.4536999002835177,0.9431302031745041,0.025869057424237514,*
sleep_trouble,Model 1,4072,race_ethnicityOther / Multi-racial,0.3881606831108567,0.24270251122787903,1.5993270162186481,15,Design-based Wald t test (df = PSU - strata),1.474266655009429,0.8788443491631327,2.47309113626587,0.13059480122614736,NS
sleep_trouble,Model 2,3364,(Intercept),-1.605377442328763,0.36334464831497487,-4.418332428381054,15,Design-based Wald t test (df = PSU - strata),0.20081374499663776,0.09256647648644233,0.4356454054452532,4.982825047347782e-4,***
sleep_trouble,Model 2,3364,alcohol_categoryDrinkers (non-binge),0.7592590453864825,0.19022014109667168,3.9914755662000054,15,Design-based Wald t test (df = PSU - strata),2.136692441692832,1.424490793676904,3.2049730406490724,0.0011795953786803992,**
sleep_trouble,Model 2,3364,alcohol_categoryBinge drinker,0.8245850533894228,0.21942606502360595,3.7579175167759287,15,Design-based Wald t test (df = PSU - strata),2.280934103060722,1.4288779226911896,3.6410810887934923,0.001899919678011075,**
sleep_trouble,Model 2,3364,age_group30-44,0.5248218593038027,0.18229749323635489,2.878930752072127,15,Design-based Wald t test (df = PSU - strata),1.690157735683957,1.145984336459793,2.492733173227404,0.01147437840617427,*
sleep_trouble,Model 2,3364,age_group45-59,0.9546873414581758,0.16219188707085913,5.886159651383103,15,Design-based Wald t test (df = PSU - strata),2.5978582133681423,1.8385615828911237,3.670732250454061,2.9906902429370754e-5,***
sleep_trouble,Model 2,3364,age_group60+,0.9079309026487419,0.2052157322435986,4.424275335630675,15,Design-based Wald t test (df = PSU - strata),2.479187542441377,1.6008326872754577,3.8394836134045653,4.923932159800306e-4,***
sleep_trouble,Model 2,3364,genderMale,-0.4168004487414644,0.1309728690819885,-3.182341897699049,15,Design-based Wald t test (df = PSU - strata),0.6591524415203084,0.49859431442968005,0.8714137497920894,0.0061833639496308625,**
sleep_trouble,Model 2,3364,race_ethnicityNon-Hispanic Black,-0.41715566240034296,0.14219951315465154,-2.933594167419252,15,Design-based Wald t test (df = PSU - strata),0.6589183431497281,0.4866321646126026,0.8922003404456812,0.010270083988024785,*
sleep_trouble,Model 2,3364,race_ethnicityNon-Hispanic Asian,-0.6244998473844651,0.1400552675761723,-4.458952941879294,15,Design-based Wald t test (df = PSU - strata),0.5355292078821513,0.3973170971199741,0.7218202654095317,4.5942108419181997e-4,***
sleep_trouble,Model 2,3364,race_ethnicityMexican American,-0.636673905844018,0.21045895392616817,-3.025169012611227,15,Design-based Wald t test (df = PSU - strata),0.529049168221868,0.3378151091385911,0.8285390878754988,0.008524280191602958,**
sleep_trouble,Model 2,3364,race_ethnicityOther Hispanic,-0.43356148563675423,0.22689483877263733,-1.9108477212706,15,Design-based Wald t test (df = PSU - strata),0.6481964366197046,0.399645894928808,1.0513272518946526,0.07532802869227828,NS
sleep_trouble,Model 2,3364,race_ethnicityOther / Multi-racial,0.265588198854147,0.29942247084086104,0.8870015603982624,15,Design-based Wald t test (df = PSU - strata),1.3041978779081473,0.6889299442631222,2.4689478500741147,0.3890786552458143,NS
sleep_trouble,Model 2,3364,educationSome college/AA,0.300037272280228,0.17958101332971685,1.6707627756245553,15,Design-based Wald t test (df = PSU - strata),1.3499091208293863,0.920599126007111,1.979422511948258,0.11549603188532424,NS
sleep_trouble,Model 2,3364,educationHigh school/GED,0.08897959744382197,0.1882405913457288,0.472690809180466,15,Design-based Wald t test (df = PSU - strata),1.093058354914336,0.731801683845267,1.6326507489980846,0.6432381684401884,NS
sleep_trouble,Model 2,3364,education9-11th grade,0.37600082897279186,0.21435323208353996,1.7541178423950843,15,Design-based Wald t test (df = PSU - strata),1.4564483411266331,0.9223022675691298,2.299942052578253,0.09981156468574454,NS
sleep_trouble,Model 2,3364,education<9th grade,0.16200699642932484,0.2299913550322742,0.704404721675694,15,Design-based Wald t test (df = PSU - strata),1.1758684681728533,0.7202132194142651,1.9198018269751664,0.49197317840541666,NS
sleep_trouble,Model 2,3364,poverty_ratio,-0.02214608729918453,0.033616864955604064,-0.6587790779548195,15,Design-based Wald t test (df = PSU - strata),0.9780973370153659,0.9104659852499702,1.0507524895769649,0.5200227413489192,NS
sleep_trouble,Model 2,3364,partneredYes,-0.14184365466907511,0.08376502253635922,-1.6933518355767907,15,Design-based Wald t test (df = PSU - strata),0.8677569156229368,0.7258698328060109,1.0373789219212157,0.11104692176005547,NS
sleep_trouble,Model 2,3364,DMDHHSIZ,-0.09506520972365033,0.051315844202328466,-1.8525508291128674,15,Design-based Wald t test (df = PSU - strata),0.9093136364439045,0.8151017372676863,1.0144148289936628,0.08372621833225062,NS
sleep_trouble,Model 3,3244,(Intercept),-2.820748216784249,0.7032766617889034,-4.010865666449385,15,Design-based Wald t test (df = PSU - strata),0.059561361222551575,0.013303249664045485,0.26666835850425336,0.001133980842602089,**
sleep_trouble,Model 3,3244,alcohol_categoryDrinkers (non-binge),0.5350512597027616,0.18747413866829846,2.8540003624149883,15,Design-based Wald t test (df = PSU - strata),1.7075357677868375,1.1450629252358484,2.546304079900974,0.012068417812038332,*
sleep_trouble,Model 3,3244,alcohol_categoryBinge drinker,0.5965352855679881,0.2647470908357002,2.2532269710120927,15,Design-based Wald t test (df = PSU - strata),1.8158166030474259,1.0327655655427364,3.192583143658514,0.03964146255340146,*
sleep_trouble,Model 3,3244,age_group30-44,0.4034897379766365,0.20487041642162684,1.96948756694206,15,Design-based Wald t test (df = PSU - strata),1.4970398694420102,0.9673632400685911,2.316739232865664,0.06765231493101664,NS
sleep_trouble,Model 3,3244,age_group45-59,0.8705550842398847,0.1564974695099929,5.562742240917172,15,Design-based Wald t test (df = PSU - strata),2.3882361579148386,1.7108470931570408,3.333829170815491,5.4295197048076126e-5,***
